pipeline_policy,trigger_position,context_length,model,reference,diff,ci_lo,ci_hi,n_template_incompatible,p_tost,p_holm,p_bh,equivalent_raw,equivalent_holm,equivalent_bh
keep_recent_messages,end,512,pythia-1b,gemma-3-1b-it,-0.2282958199356913,-0.33300818691280576,-0.12395434545809138,0,0.9955,1.0,1.0,False,False,False
keep_recent_messages,end,512,qwen3-0_6b,gemma-3-1b-it,-0.21093247588424435,-0.31525899576142885,-0.10838757639202883,0,0.9925,1.0,1.0,False,False,False
keep_recent_messages,end,512,tinyllama-1_1b-chat,gemma-3-1b-it,-0.24051446945337618,-0.3438814242139561,-0.1358633819011177,0,0.9985,1.0,1.0,False,False,False
keep_recent_messages,end,1024,pythia-1b,gemma-3-1b-it,-0.1594855305466238,-0.26499798132545027,-0.053742807167338154,0,0.9555,1.0,1.0,False,False,False
keep_recent_messages,end,1024,qwen3-0_6b,gemma-3-1b-it,-0.1607717041800643,-0.26651151920225225,-0.055275658807212226,0,0.9585,1.0,1.0,False,False,False
keep_recent_messages,end,1024,tinyllama-1_1b-chat,gemma-3-1b-it,-0.1594855305466238,-0.26499798132545027,-0.053742807167338154,0,0.9555,1.0,1.0,False,False,False
keep_recent_messages,end,2048,pythia-1b,gemma-3-1b-it,0.4,0.3055320150659134,0.4931506849315068,0,1.0,1.0,1.0,False,False,False
keep_recent_messages,end,2048,qwen3-0_6b,gemma-3-1b-it,-0.14983922829581992,-0.2543373293373293,-0.044942477657631,0,0.938,1.0,1.0,False,False,False
keep_recent_messages,end,2048,tinyllama-1_1b-chat,gemma-3-1b-it,0.4,0.3055320150659134,0.4931506849315068,0,1.0,1.0,1.0,False,False,False
keep_recent_messages,middle,512,pythia-1b,gemma-3-1b-it,-0.22893890675241158,-0.3344966326098383,-0.12432635622653118,0,0.9955,1.0,1.0,False,False,False
keep_recent_messages,middle,512,qwen3-0_6b,gemma-3-1b-it,-0.21093247588424435,-0.31525899576142885,-0.10838757639202883,0,0.9925,1.0,1.0,False,False,False
keep_recent_messages,middle,512,tinyllama-1_1b-chat,gemma-3-1b-it,-0.24051446945337618,-0.3438814242139561,-0.1358633819011177,0,0.9985,1.0,1.0,False,False,False
keep_recent_messages,middle,1024,pythia-1b,gemma-3-1b-it,-0.1594855305466238,-0.26499798132545027,-0.053742807167338154,0,0.9555,1.0,1.0,False,False,False
keep_recent_messages,middle,1024,qwen3-0_6b,gemma-3-1b-it,-0.1607717041800643,-0.26651151920225225,-0.055275658807212226,0,0.9585,1.0,1.0,False,False,False
keep_recent_messages,middle,1024,tinyllama-1_1b-chat,gemma-3-1b-it,-0.1594855305466238,-0.26499798132545027,-0.053742807167338154,0,0.9555,1.0,1.0,False,False,False
keep_recent_messages,middle,2048,pythia-1b,gemma-3-1b-it,0.4,0.3055320150659134,0.4931506849315068,0,1.0,1.0,1.0,False,False,False
keep_recent_messages,middle,2048,qwen3-0_6b,gemma-3-1b-it,-0.14983922829581992,-0.2543373293373293,-0.044942477657631,0,0.938,1.0,1.0,False,False,False
keep_recent_messages,middle,2048,tinyllama-1_1b-chat,gemma-3-1b-it,0.4,0.3055320150659134,0.4931506849315068,0,1.0,1.0,1.0,False,False,False
keep_recent_messages,old_turn,512,pythia-1b,gemma-3-1b-it,-0.487459807073955,-0.5829134245636978,-0.3905616279542774,0,1.0,1.0,1.0,False,False,False
